author, title, et, in, qui, non, is, hic, quod, ego, sed, de, ut, ad, ille, si, ab, cum, quis, suus, ipse, quam, meus, quia, nec, nos, noster, que, sibi, pro, enim, vel, ex, autem, ne, per, aut, tamen, iam, quo, quidem, sic, iste, alius, nisi, super, etiam, tam, ergo, ubi, sicut, nunc, sine, nam, ita, magis, vero, apud, bene, tantus, inter, immo, propter, quippe, quoque, idem, ac, solum, denique, quoniam, talis, adhuc, quantus, atque, quomodo, etsi, unde, tamquam, ante, utique, contra, nullus, igitur, certe, aliquis, dum, semper, videlicet, quidam, siquidem, quisquis, sub, satis, quantum, usque, numquid, neque, an, minus, post, quasi, unquam, iuxta, verum, itaque, pote, secundum, multum, quando, alter, ibi, tunc, sane, uterque, nemo, omnino, profecto, sive, nonne, prius, porro, ample, alioqui, vere, utinam, libenter, interim, donec, numquam, cito, nimirum, cur, plane, absque, quatenus, ceterum, proinde, longe, pariter, at, facile, inde, simul, ubique, ideo, tandem, iterum, coram, rursus, huiusmodi, parve, quisque, 
2, in_7, 109, 57, 62, 65, 31, 34, 46, 57, 29, 35, 32, 32, 22, 28, 21, 18, 13, 17, 26, 22, 10, 15, 22, 15, 25, 19, 13, 15, 5, 8, 13, 15, 7, 7, 14, 8, 10, 10, 11, 5, 1, 4, 5, 6, 4, 10, 4, 1, 3, 6, 6, 5, 3, 5, 6, 2, 3, 6, 2, 5, 5, 6, 2, 4, 9, 2, 1, 3, 2, 1, 4, 5, 3, 5, 7, 4, 4, 3, 1, 3, 2, 6, 1, 3, 0, 5, 0, 4, 4, 2, 2, 4, 2, 1, 2, 3, 7, 2, 3, 2, 4, 4, 4, 3, 1, 4, 1, 6, 0, 0, 0, 1, 4, 3, 1, 2, 0, 3, 2, 1, 1, 1, 1, 2, 2, 2, 0, 1, 3, 1, 0, 2, 4, 3, 0, 0, 1, 1, 0, 2, 0, 0, 0, 2, 1, 0, 3, 2, 0, 1, 
2, in_8, 114, 73, 52, 69, 30, 35, 31, 21, 31, 16, 24, 23, 29, 30, 17, 33, 11, 16, 20, 23, 10, 14, 13, 25, 12, 19, 9, 22, 7, 12, 9, 9, 4, 9, 4, 6, 11, 11, 14, 4, 5, 5, 2, 5, 4, 9, 3, 2, 6, 6, 4, 2, 5, 2, 3, 3, 3, 0, 1, 4, 5, 6, 3, 4, 7, 5, 7, 4, 3, 1, 0, 1, 2, 4, 7, 3, 1, 2, 0, 2, 1, 5, 0, 3, 1, 2, 3, 5, 1, 2, 3, 0, 0, 1, 3, 3, 2, 4, 0, 1, 0, 2, 4, 2, 1, 1, 2, 0, 5, 2, 3, 1, 1, 0, 3, 4, 0, 1, 2, 1, 3, 0, 1, 1, 2, 1, 0, 1, 3, 4, 3, 2, 0, 2, 5, 1, 2, 1, 1, 1, 1, 0, 3, 0, 0, 1, 0, 0, 2, 2, 
2, in_9, 128, 74, 51, 65, 26, 24, 28, 54, 20, 30, 35, 26, 19, 33, 17, 18, 18, 17, 17, 17, 11, 13, 7, 13, 13, 11, 8, 6, 8, 5, 7, 8, 3, 5, 6, 5, 4, 9, 9, 4, 4, 0, 7, 9, 1, 5, 9, 10, 4, 12, 2, 6, 5, 1, 3, 5, 3, 6, 0, 3, 0, 4, 1, 1, 4, 1, 2, 3, 4, 1, 3, 6, 4, 4, 5, 6, 1, 2, 0, 1, 1, 4, 0, 0, 0, 0, 0, 1, 3, 0, 2, 5, 0, 0, 1, 0, 2, 2, 2, 0, 1, 2, 2, 2, 1, 2, 1, 3, 3, 1, 1, 0, 4, 2, 0, 3, 0, 0, 0, 1, 0, 0, 2, 1, 1, 2, 1, 2, 3, 1, 1, 1, 2, 3, 2, 0, 0, 3, 2, 1, 1, 1, 0, 2, 1, 2, 4, 1, 1, 0, 
2, in_10, 158, 88, 75, 50, 23, 35, 25, 48, 17, 32, 34, 32, 27, 20, 20, 22, 13, 15, 23, 20, 34, 11, 4, 9, 19, 14, 11, 15, 7, 4, 4, 9, 4, 12, 3, 5, 1, 5, 4, 4, 7, 5, 4, 8, 6, 1, 5, 0, 7, 4, 1, 4, 4, 5, 4, 5, 5, 3, 8, 2, 1, 3, 2, 1, 3, 3, 2, 2, 3, 4, 4, 5, 0, 1, 3, 4, 4, 2, 0, 0, 0, 2, 0, 3, 1, 1, 0, 4, 0, 4, 2, 4, 7, 0, 1, 1, 0, 0, 0, 3, 4, 1, 2, 0, 4, 2, 1, 0, 0, 1, 2, 0, 0, 0, 3, 0, 4, 0, 1, 1, 0, 3, 2, 0, 3, 0, 2, 2, 0, 0, 2, 3, 1, 3, 0, 1, 2, 0, 1, 1, 1, 2, 3, 0, 1, 0, 0, 1, 1, 0, 
2, in_11, 138, 50, 44, 70, 27, 25, 40, 33, 34, 22, 34, 20, 19, 29, 20, 18, 22, 12, 13, 16, 20, 5, 12, 15, 14, 21, 12, 6, 7, 5, 3, 6, 13, 9, 8, 5, 5, 5, 6, 6, 4, 12, 8, 10, 2, 10, 2, 9, 5, 5, 3, 6, 8, 5, 2, 4, 2, 3, 2, 1, 2, 1, 4, 4, 3, 1, 3, 3, 2, 3, 3, 4, 1, 3, 1, 0, 2, 3, 6, 6, 0, 4, 1, 3, 2, 4, 2, 4, 4, 0, 3, 0, 0, 0, 2, 0, 2, 2, 1, 5, 2, 2, 2, 3, 0, 1, 7, 0, 1, 4, 3, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 3, 1, 4, 0, 0, 4, 3, 2, 3, 2, 2, 3, 2, 1, 3, 0, 0, 2, 1, 1, 1, 1, 2, 1, 0, 0, 4, 0, 
2, in_12, 114, 62, 56, 68, 36, 32, 35, 49, 26, 41, 28, 15, 22, 22, 22, 14, 24, 19, 23, 19, 25, 4, 18, 4, 9, 20, 9, 9, 10, 7, 10, 9, 6, 8, 10, 13, 12, 12, 6, 5, 6, 6, 5, 7, 7, 9, 4, 4, 4, 2, 1, 6, 3, 3, 4, 5, 1, 1, 6, 3, 3, 2, 2, 3, 6, 2, 6, 6, 5, 3, 1, 6, 3, 4, 4, 5, 5, 2, 4, 2, 2, 3, 1, 1, 0, 1, 2, 3, 2, 0, 1, 0, 1, 2, 0, 5, 2, 3, 1, 1, 1, 2, 2, 4, 0, 1, 2, 0, 0, 0, 5, 0, 1, 4, 2, 2, 4, 1, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 2, 1, 1, 6, 2, 1, 1, 2, 0, 3, 3, 1, 1, 0, 0, 1, 0, 0, 0, 1, 3, 0, 
2, in_13, 142, 62, 51, 74, 25, 42, 25, 28, 44, 36, 19, 34, 28, 28, 19, 14, 20, 13, 14, 23, 21, 11, 18, 12, 13, 15, 9, 17, 2, 5, 9, 11, 5, 10, 3, 7, 5, 3, 5, 6, 5, 4, 4, 6, 6, 6, 3, 2, 4, 2, 1, 2, 5, 7, 0, 5, 4, 1, 2, 4, 2, 6, 5, 1, 4, 2, 3, 4, 2, 4, 2, 5, 5, 2, 1, 4, 0, 1, 4, 1, 1, 5, 1, 2, 1, 3, 1, 4, 1, 2, 3, 2, 2, 3, 1, 1, 1, 1, 1, 1, 1, 5, 4, 1, 5, 3, 1, 1, 1, 0, 1, 1, 4, 1, 1, 3, 0, 0, 2, 2, 0, 1, 1, 1, 2, 2, 1, 0, 2, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 1, 3, 0, 4, 1, 1, 0, 1, 0, 
2, in_14, 163, 84, 54, 51, 48, 16, 23, 27, 28, 58, 19, 31, 30, 15, 26, 27, 17, 33, 16, 12, 5, 10, 18, 5, 2, 7, 23, 9, 9, 2, 4, 8, 13, 7, 7, 4, 8, 4, 4, 2, 1, 8, 5, 7, 7, 7, 5, 2, 6, 3, 7, 5, 5, 5, 0, 7, 6, 2, 2, 3, 1, 1, 1, 0, 4, 0, 5, 2, 2, 5, 5, 4, 3, 0, 3, 1, 2, 2, 4, 0, 0, 2, 3, 3, 0, 1, 3, 3, 3, 1, 1, 0, 8, 0, 3, 4, 4, 4, 2, 2, 3, 2, 2, 2, 0, 2, 1, 1, 1, 1, 0, 0, 0, 1, 0, 2, 2, 1, 1, 1, 1, 0, 3, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 2, 1, 0, 1, 2, 1, 2, 1, 2, 0, 0, 0, 
2, in_15, 127, 60, 62, 71, 44, 36, 44, 20, 25, 34, 29, 38, 33, 32, 19, 5, 18, 20, 12, 11, 22, 12, 22, 9, 13, 11, 10, 8, 5, 8, 13, 9, 11, 10, 11, 5, 5, 7, 6, 5, 4, 6, 3, 8, 4, 6, 6, 0, 3, 5, 5, 10, 4, 6, 7, 3, 3, 2, 4, 1, 5, 1, 2, 1, 0, 0, 3, 2, 3, 4, 2, 5, 2, 4, 3, 1, 1, 3, 0, 4, 1, 4, 0, 3, 1, 2, 1, 0, 3, 2, 5, 1, 2, 4, 3, 1, 0, 2, 3, 2, 0, 3, 3, 0, 1, 1, 2, 3, 4, 1, 3, 1, 0, 1, 3, 0, 0, 1, 0, 0, 2, 1, 0, 1, 1, 0, 0, 2, 1, 0, 2, 2, 0, 2, 1, 1, 0, 0, 5, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 
2, in_16, 160, 76, 73, 67, 45, 33, 42, 36, 27, 20, 31, 26, 24, 32, 22, 12, 23, 20, 26, 9, 34, 13, 10, 9, 8, 15, 5, 8, 8, 3, 3, 7, 6, 6, 3, 4, 8, 5, 7, 1, 5, 4, 2, 9, 5, 9, 1, 4, 5, 6, 2, 10, 2, 4, 1, 7, 3, 2, 3, 3, 4, 1, 2, 2, 2, 6, 3, 5, 5, 3, 3, 4, 3, 2, 0, 2, 1, 1, 3, 1, 0, 1, 3, 2, 0, 2, 1, 1, 2, 1, 1, 2, 0, 2, 2, 2, 1, 2, 2, 0, 2, 1, 1, 2, 1, 1, 1, 0, 0, 4, 3, 0, 1, 1, 1, 1, 1, 0, 2, 0, 1, 1, 0, 1, 0, 0, 0, 2, 0, 1, 1, 2, 3, 1, 3, 0, 1, 1, 2, 3, 1, 0, 1, 1, 1, 0, 5, 0, 1, 0, 
2, in_17, 149, 46, 55, 61, 43, 29, 44, 25, 24, 29, 26, 23, 24, 33, 21, 18, 20, 29, 19, 11, 9, 6, 15, 17, 8, 19, 20, 21, 12, 2, 2, 6, 3, 9, 8, 4, 8, 10, 10, 2, 7, 12, 6, 5, 5, 2, 3, 1, 9, 7, 3, 7, 10, 6, 3, 7, 0, 0, 7, 1, 2, 0, 5, 1, 0, 1, 4, 4, 4, 12, 0, 7, 6, 1, 1, 1, 0, 2, 13, 0, 0, 0, 1, 0, 2, 0, 0, 2, 5, 0, 2, 1, 2, 2, 1, 2, 1, 1, 2, 4, 3, 4, 1, 1, 3, 2, 1, 0, 1, 2, 2, 0, 1, 5, 2, 4, 6, 0, 1, 0, 0, 0, 1, 0, 0, 4, 1, 1, 1, 1, 2, 1, 0, 2, 1, 0, 1, 2, 0, 0, 0, 2, 1, 1, 3, 2, 1, 1, 2, 0, 
2, in_18, 129, 67, 46, 86, 34, 38, 46, 44, 26, 24, 32, 29, 26, 31, 21, 13, 22, 15, 20, 16, 23, 12, 9, 14, 5, 13, 11, 9, 14, 12, 14, 6, 12, 4, 11, 4, 10, 8, 6, 6, 7, 2, 12, 2, 5, 8, 3, 2, 3, 6, 3, 11, 10, 7, 1, 1, 4, 4, 2, 6, 2, 3, 3, 2, 1, 1, 0, 2, 0, 5, 7, 3, 6, 7, 2, 1, 4, 3, 7, 2, 0, 0, 2, 1, 0, 2, 2, 1, 2, 0, 2, 1, 1, 0, 2, 3, 3, 1, 1, 0, 0, 3, 2, 3, 3, 1, 2, 3, 0, 3, 3, 0, 1, 1, 2, 0, 0, 1, 3, 2, 2, 0, 5, 2, 2, 2, 0, 0, 2, 3, 2, 0, 0, 1, 1, 0, 1, 5, 0, 0, 1, 3, 1, 2, 1, 1, 1, 0, 1, 0, 
2, in_19, 134, 97, 66, 61, 52, 29, 23, 18, 37, 32, 29, 30, 25, 27, 23, 14, 28, 25, 22, 11, 9, 10, 9, 8, 17, 9, 6, 10, 16, 5, 9, 3, 6, 11, 2, 7, 10, 8, 2, 8, 6, 3, 5, 9, 8, 3, 7, 5, 7, 3, 2, 5, 3, 3, 1, 1, 3, 3, 3, 2, 0, 1, 4, 1, 1, 3, 3, 2, 6, 3, 1, 1, 1, 2, 1, 2, 7, 0, 3, 2, 2, 1, 1, 0, 3, 0, 4, 2, 1, 1, 0, 1, 1, 2, 2, 1, 1, 4, 3, 3, 0, 1, 2, 2, 1, 1, 1, 0, 0, 2, 1, 0, 0, 4, 2, 0, 4, 2, 2, 0, 3, 2, 1, 0, 0, 0, 1, 0, 4, 4, 2, 2, 0, 2, 2, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 
2, in_20, 130, 86, 65, 51, 35, 35, 24, 19, 26, 26, 18, 35, 19, 20, 37, 12, 21, 26, 18, 10, 17, 10, 17, 8, 6, 17, 16, 14, 6, 13, 5, 6, 7, 10, 8, 5, 5, 4, 6, 6, 6, 3, 4, 6, 10, 3, 10, 2, 7, 10, 6, 5, 6, 2, 1, 5, 0, 2, 1, 0, 1, 2, 4, 2, 4, 3, 4, 2, 4, 2, 3, 6, 7, 1, 0, 4, 4, 2, 6, 2, 0, 2, 0, 4, 0, 0, 0, 2, 3, 3, 1, 1, 2, 3, 4, 2, 0, 3, 3, 3, 1, 3, 2, 1, 2, 1, 0, 5, 0, 2, 1, 1, 0, 3, 2, 1, 8, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 2, 1, 1, 0, 0, 3, 1, 5, 0, 0, 0, 3, 3, 0, 1, 0, 0, 0, 1, 1, 2, 
2, in_21, 115, 59, 50, 92, 51, 43, 43, 43, 32, 34, 32, 21, 17, 36, 27, 13, 22, 11, 18, 13, 18, 12, 15, 5, 9, 14, 16, 14, 9, 8, 11, 6, 19, 8, 7, 7, 8, 6, 9, 3, 6, 6, 6, 2, 6, 7, 6, 4, 4, 5, 1, 6, 6, 4, 3, 2, 3, 5, 0, 3, 2, 1, 2, 2, 4, 2, 0, 1, 3, 5, 4, 4, 0, 3, 4, 0, 4, 3, 4, 2, 0, 4, 7, 3, 6, 0, 2, 2, 3, 0, 3, 5, 0, 3, 2, 3, 4, 2, 1, 0, 0, 1, 2, 2, 2, 1, 0, 0, 0, 0, 2, 0, 0, 2, 2, 5, 0, 0, 5, 1, 1, 0, 0, 0, 0, 0, 0, 1, 2, 2, 3, 1, 0, 1, 3, 0, 0, 1, 2, 1, 2, 1, 0, 0, 2, 2, 0, 0, 3, 1, 
2, in_22, 118, 56, 49, 85, 46, 30, 39, 43, 44, 33, 25, 20, 29, 24, 26, 15, 18, 21, 16, 18, 13, 11, 28, 31, 18, 9, 11, 9, 2, 15, 3, 15, 6, 6, 6, 4, 8, 4, 14, 8, 6, 9, 8, 6, 10, 9, 3, 8, 4, 7, 4, 4, 9, 5, 7, 3, 4, 3, 4, 1, 3, 0, 6, 4, 3, 4, 4, 4, 2, 6, 0, 4, 2, 7, 4, 3, 4, 1, 2, 4, 0, 2, 1, 2, 2, 1, 4, 2, 6, 0, 2, 1, 6, 2, 3, 2, 2, 3, 5, 2, 3, 0, 1, 4, 1, 2, 1, 3, 4, 2, 3, 3, 3, 1, 1, 4, 1, 0, 2, 1, 1, 0, 2, 0, 1, 2, 1, 0, 0, 1, 3, 0, 0, 1, 0, 1, 2, 4, 0, 0, 0, 0, 1, 3, 3, 0, 1, 0, 1, 0, 
2, in_23, 129, 57, 57, 92, 47, 27, 37, 42, 31, 30, 32, 23, 21, 25, 29, 16, 15, 13, 15, 16, 15, 19, 14, 22, 19, 13, 14, 17, 8, 8, 6, 8, 12, 16, 0, 4, 10, 6, 5, 8, 5, 14, 6, 6, 2, 8, 3, 2, 2, 6, 4, 7, 6, 3, 3, 6, 6, 3, 0, 4, 4, 0, 2, 2, 3, 1, 3, 3, 2, 7, 0, 2, 6, 4, 2, 1, 2, 2, 2, 3, 1, 3, 1, 2, 2, 0, 2, 0, 0, 0, 7, 2, 6, 0, 6, 3, 6, 1, 2, 2, 1, 2, 3, 1, 3, 2, 0, 1, 0, 0, 2, 0, 0, 4, 0, 1, 2, 0, 1, 1, 2, 1, 1, 1, 3, 3, 0, 3, 0, 1, 1, 1, 0, 0, 2, 3, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 3, 0, 
2, in_24, 104, 62, 71, 68, 43, 39, 52, 28, 17, 32, 32, 23, 30, 32, 23, 12, 15, 20, 24, 15, 5, 8, 16, 13, 10, 7, 16, 22, 6, 5, 10, 3, 16, 15, 13, 5, 5, 6, 7, 3, 12, 5, 5, 6, 9, 6, 1, 2, 9, 7, 3, 5, 3, 6, 2, 2, 7, 0, 1, 1, 1, 1, 2, 5, 3, 1, 5, 1, 4, 4, 0, 1, 3, 4, 0, 2, 4, 0, 2, 2, 0, 3, 4, 1, 2, 2, 5, 2, 2, 5, 4, 1, 5, 3, 1, 1, 5, 1, 3, 1, 1, 1, 3, 2, 1, 3, 0, 5, 0, 1, 2, 0, 4, 0, 1, 2, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 3, 1, 1, 1, 2, 0, 0, 0, 1, 0, 0, 4, 1, 2, 0, 0, 0, 1, 1, 0, 0, 1, 2, 0, 
2, in_25, 162, 63, 53, 67, 51, 28, 26, 37, 21, 36, 35, 26, 25, 38, 26, 8, 15, 29, 31, 18, 18, 20, 10, 20, 17, 8, 13, 22, 11, 2, 8, 9, 8, 10, 5, 7, 9, 7, 4, 9, 5, 3, 4, 9, 2, 4, 2, 3, 2, 4, 4, 5, 6, 5, 0, 4, 13, 2, 2, 5, 3, 3, 6, 2, 1, 0, 0, 2, 6, 1, 1, 1, 1, 6, 2, 3, 2, 1, 3, 7, 0, 2, 3, 0, 1, 2, 1, 0, 1, 5, 4, 1, 1, 2, 1, 2, 4, 1, 3, 1, 1, 0, 1, 0, 5, 3, 1, 7, 3, 2, 2, 1, 0, 1, 2, 2, 0, 0, 1, 0, 2, 2, 3, 3, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 2, 0, 1, 1, 0, 2, 0, 1, 3, 5, 1, 0, 0, 1, 
3, ex_1, 100, 73, 52, 52, 47, 34, 52, 16, 24, 38, 18, 21, 17, 34, 17, 20, 19, 19, 20, 16, 7, 10, 6, 13, 12, 15, 10, 9, 9, 8, 7, 5, 8, 4, 17, 10, 8, 10, 6, 3, 4, 5, 8, 1, 3, 7, 6, 2, 3, 2, 5, 3, 0, 7, 8, 2, 4, 4, 0, 4, 5, 4, 6, 1, 5, 2, 5, 1, 2, 2, 5, 3, 1, 3, 4, 0, 0, 1, 5, 4, 2, 3, 1, 4, 3, 3, 7, 3, 4, 0, 2, 1, 0, 1, 3, 3, 5, 4, 3, 2, 4, 4, 3, 1, 0, 1, 4, 2, 0, 0, 3, 0, 1, 2, 0, 5, 0, 3, 1, 0, 2, 1, 0, 1, 2, 0, 0, 1, 2, 3, 0, 1, 2, 2, 1, 0, 1, 1, 0, 2, 5, 1, 0, 0, 0, 0, 1, 1, 2, 1, 
3, ex_2, 117, 57, 59, 62, 30, 34, 47, 12, 36, 39, 24, 15, 19, 32, 23, 26, 34, 17, 19, 18, 3, 8, 13, 22, 23, 16, 19, 18, 12, 9, 13, 7, 5, 7, 13, 7, 8, 4, 5, 8, 3, 9, 5, 9, 7, 8, 2, 7, 7, 4, 4, 4, 6, 3, 4, 6, 8, 4, 2, 3, 1, 2, 3, 7, 5, 3, 1, 1, 2, 5, 2, 0, 2, 0, 0, 4, 4, 3, 5, 0, 4, 2, 1, 3, 4, 4, 1, 3, 1, 4, 3, 2, 1, 0, 2, 1, 2, 1, 1, 3, 1, 0, 1, 1, 0, 2, 3, 1, 1, 3, 2, 2, 1, 0, 2, 0, 0, 2, 1, 1, 3, 2, 1, 1, 1, 2, 0, 2, 1, 0, 1, 3, 2, 4, 0, 1, 1, 0, 2, 0, 2, 1, 1, 2, 0, 2, 0, 0, 0, 3, 
3, ex_3, 127, 62, 72, 63, 46, 31, 33, 36, 25, 40, 32, 33, 14, 26, 21, 22, 21, 29, 19, 14, 11, 9, 19, 16, 11, 15, 13, 12, 7, 10, 4, 11, 7, 3, 10, 5, 5, 5, 6, 6, 2, 9, 1, 4, 5, 5, 4, 2, 1, 5, 5, 4, 3, 4, 5, 2, 1, 2, 6, 0, 2, 2, 1, 0, 4, 2, 1, 0, 6, 1, 3, 2, 0, 6, 2, 2, 1, 3, 1, 0, 2, 4, 2, 0, 1, 1, 1, 4, 1, 1, 2, 6, 2, 1, 3, 1, 1, 2, 1, 1, 4, 2, 2, 2, 2, 1, 1, 2, 1, 2, 2, 1, 3, 3, 1, 3, 1, 1, 3, 2, 1, 3, 2, 1, 1, 1, 1, 3, 2, 0, 1, 0, 0, 1, 2, 0, 1, 1, 1, 0, 3, 0, 0, 0, 1, 0, 0, 1, 0, 0, 
4, ex_1, 162, 88, 60, 48, 69, 17, 28, 17, 28, 42, 32, 24, 17, 16, 31, 29, 10, 42, 7, 18, 9, 8, 1, 6, 15, 9, 7, 15, 7, 7, 4, 9, 3, 8, 2, 5, 9, 6, 5, 5, 9, 3, 6, 2, 1, 2, 2, 0, 9, 9, 3, 3, 1, 3, 6, 4, 3, 3, 2, 5, 2, 1, 0, 2, 3, 0, 3, 3, 3, 2, 3, 4, 7, 0, 3, 6, 2, 0, 4, 3, 4, 1, 4, 0, 2, 0, 0, 2, 0, 2, 1, 1, 2, 2, 2, 0, 1, 1, 1, 0, 1, 1, 0, 2, 4, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 4, 1, 3, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 
4, ex_2, 141, 82, 61, 61, 57, 21, 31, 17, 36, 32, 27, 42, 22, 26, 19, 29, 13, 27, 12, 8, 14, 12, 18, 7, 10, 1, 8, 14, 15, 8, 9, 7, 9, 5, 3, 5, 7, 8, 0, 1, 17, 2, 9, 2, 4, 1, 3, 5, 5, 1, 4, 1, 4, 1, 3, 7, 3, 2, 4, 2, 1, 0, 0, 0, 2, 2, 2, 8, 2, 2, 0, 0, 0, 2, 0, 3, 0, 1, 2, 2, 6, 0, 0, 0, 1, 0, 0, 2, 0, 3, 2, 1, 2, 0, 3, 0, 1, 0, 2, 1, 2, 3, 2, 1, 2, 1, 3, 0, 0, 1, 0, 1, 1, 2, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 2, 2, 0, 3, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 
